lat,lon,node_name,node_type
41.1491328,-8.6118203,Cervejaria Brasão Aliados,restaurant
41.1477612,-8.608317,Palmeira,restaurant
41.1650347,-8.6110431,Rito,restaurant
41.1476875,-8.6122239,tascö,restaurant
41.1481583,-8.6153437,Solar Moinho de Vento,restaurant
41.1485509,-8.6148807,Solar Moinho de Vento,restaurant
41.1426925,-8.6143937,10 em São Domingos,restaurant
41.1483502,-8.6151285,Solar Moinho de Vento,restaurant
41.1471075,-8.6076402,Café Santiago,restaurant
41.1482651,-8.6122349,Ris8tto da Baixa,restaurant
41.1464622,-8.6149325,Clérigos,restaurant
41.1476126,-8.6122022,MUU Steakhouse,restaurant
41.150382,-8.6117833,Entre Tanto,restaurant
41.1443837,-8.6122811,Voltaria Petisqueria,restaurant
41.1491431,-8.604148,Leitões Palace,restaurant
41.1489833,-8.6121967,Frankie HotDogs,restaurant
41.1483828,-8.6121397,A Lojinha do Leitão,restaurant
41.1502446,-8.6119874,Lhau ! Lhau ! Maria !,restaurant
41.1712156,-8.6788371,Entrada Norte / da Circunvalação,attraction
41.1699985,-8.6799576,Estação Meteorológica,attraction
41.1709677,-8.6742939,Sítio das Camélias,attraction
41.169485,-8.6813739,Estadia do Mirante,attraction
41.1684937,-8.678937,Estadia dos Plátanos,attraction
41.1679152,-8.6784998,Ponte das Esferas,attraction
41.1703297,-8.6721934,Centro de Educação Ambiental,attraction
41.1681963,-8.6814636,Miradouro da Nora,attraction
41.1575098,-8.6275814,Restaurante Churrascão Gaúcho,restaurant
41.1561959,-8.6192333,Café Restaurante Universal,restaurant
41.1462475,-8.6047201,éLeBé Baixa,restaurant
41.1464225,-8.6139293,,restaurant
41.1473032,-8.5875102,Casa Aleixo,restaurant
41.1427843,-8.6131431,Cerca Velha,restaurant
41.1556414,-8.6184218,"Arco da Velha, Bistro & Wine Bar",restaurant
41.1554712,-8.6186353,Lapamaki,restaurant
41.1627232,-8.6108552,Augusto Restaurante,restaurant
41.1448938,-8.612511,Arcos,restaurant
41.1451354,-8.6059458,Aurora,restaurant
41.1452537,-8.6126601,Novo Mondo,restaurant
41.1452764,-8.6114983,Com Cuore (gluten free),restaurant
41.1452583,-8.6136715,Folias de Baco,restaurant
41.140613,-8.6138524,Casa Lopes,restaurant
41.1503534,-8.6069107,Bulha,restaurant
41.1436766,-8.6210954,Taberna do Barqueiro,restaurant
41.1492361,-8.6166064,A Taberna do Carregal,restaurant
41.1453307,-8.6112159,"Sabores da Invicta - Confeitaria, Restaurante, Salão de Chá",restaurant
41.1443536,-8.6127117,Mercador Café,restaurant
41.1476066,-8.6120471,Francesinhas da Baixa,restaurant
41.1450171,-8.6151989,Brasil,restaurant
41.1433355,-8.611308,Varanda da Saudade,restaurant
41.1582946,-8.6322859,Bo La Falafel,restaurant
41.1445901,-8.6123651,Rua das Flores,attraction
41.1521014,-8.6063359,Negra Cafe,restaurant
41.1413555,-8.6130436,Taberna dos Mercadores,restaurant
41.1425728,-8.6166534,Adega Mercearia Bebe Se Mal,restaurant
41.1453185,-8.6041696,Patio do Duque,restaurant
41.1527956,-8.6333076,Ikeda,restaurant
41.1523034,-8.6350846,Remédio Santo,restaurant
41.1501938,-8.6756494,Tentacoes no Prato,restaurant
41.1424322,-8.6156957,Bota & Bira,restaurant
41.1453334,-8.6131136,Restaurante Cana Verde,restaurant
41.1462045,-8.6052648,Gondarem Baixa,restaurant
41.1464223,-8.6045534,eLeBe Baixa,restaurant
41.1526304,-8.6779491,Casa Rocha,restaurant
41.1497529,-8.6744526,A Capoeira,restaurant
41.1447899,-8.6124012,Tasquinha dos Loíos,restaurant
41.143752,-8.613024,Tapisco,restaurant
41.1431024,-8.6139201,Mar Norte,restaurant
41.1418554,-8.6137648,Tapas 65,restaurant
41.1405942,-8.6126072,Ribeira 50,restaurant
41.1434239,-8.6209387,Alfândega Douro,restaurant
41.1497971,-8.6151581,Museu d’Avó,restaurant
41.1443166,-8.6155732,Taberna d’Avó,restaurant
41.1459592,-8.6063698,Cervejaria Artesanal Levare,restaurant
41.1434573,-8.617551,Capela 51,restaurant
41.1498886,-8.623089,Frida,restaurant
41.1490172,-8.6202165,Restaurante Pimenta Rosa,restaurant
41.1499265,-8.6742505,Pizzaria Casa da Foz,restaurant
41.1464627,-8.6021514,Tasquinha do Caco,restaurant
41.148409,-8.6409896,Porto Bridge Climb,attraction
41.1402473,-8.6152951,Gomos de Saudade,restaurant
41.1413602,-8.6149583,Praça do Infante Dom Henrique,attraction
41.1488678,-8.6093863,Pedro dos frangos 2,restaurant
41.1508106,-8.6141933,O Burrito,restaurant
41.1427665,-8.6147312,DOP,restaurant
41.1430637,-8.6173866,Hungry Biker,restaurant
41.1562482,-8.680924,Ichiban,restaurant
41.1478886,-8.620438,Época Porto,restaurant
41.1476392,-8.6144841,Kyoto na Baixa,restaurant
41.1464421,-8.6166185,Subenshi,restaurant
41.1424986,-8.6156505,Gion,restaurant
41.1492777,-8.6130356,Boa-Bao,restaurant
41.1479936,-8.586312,Churrasqueira de Campanhã,restaurant
41.1466725,-8.6045245,Brasão Cervejaria Coliseu,restaurant
41.1552346,-8.6136479,Za in Porto,restaurant
41.1506702,-8.6094024,DOMO Sushi,restaurant
41.1425319,-8.6125886,Tapas Bar O Muro Velho Restaurante,restaurant
41.1590526,-8.5928227,A Casa da Picanha,restaurant
41.1487736,-8.61201,Ro,restaurant
41.1415759,-8.6134224,Sagarda,restaurant
41.1707914,-8.606258,Flor de Paranhos,restaurant
41.1628141,-8.5936978,Restaurante Barril,restaurant
41.1499428,-8.6733679,"Casa Aberta, Open Bar & Food House",restaurant
41.1476751,-8.6144696,Stash,restaurant
41.1592226,-8.6591883,Restaurante de Serralves,restaurant
41.142832,-8.6152011,Viva Creative Kitchen,restaurant
41.149745,-8.6130365,Salve Simpatico,restaurant
41.1473345,-8.6163608,Casa Escondida,attraction
41.1433469,-8.6131947,Wine & Tapas,restaurant
41.1467978,-8.6108277,Estambul Döner Kebap Pizza,restaurant
41.1401243,-8.6147611,O Muro,restaurant
41.1500277,-8.6112579,Via Garret,restaurant
41.1508943,-8.6205972,Casa Ferreira,restaurant
41.1408233,-8.6119854,Restaurante do Terreirinho,restaurant
41.140667,-8.6115549,,restaurant
41.1406862,-8.6114855,O Muro Antigo,restaurant
41.1408283,-8.6111858,Porto Escondido,restaurant
41.1406985,-8.6111398,Fiume Douro,restaurant
41.140641,-8.6114818,A Marina,restaurant
41.1406086,-8.6116991,Terra Nova,restaurant
41.1406016,-8.6117624,Cais 35,restaurant
41.1405671,-8.6122987,DeOURO,restaurant
41.1431491,-8.612842,O Castiço da Sé,restaurant
41.1475895,-8.6066998,Porto Douro,restaurant
41.1501253,-8.6057536,A Rampinha,restaurant
41.1500399,-8.6056041,Casa das Waffles Artesanal,restaurant
41.1449676,-8.6075014,Kapadokya,restaurant
41.1448297,-8.6078154,Boca de Cena,restaurant
41.1500766,-8.6130507,,restaurant
41.1573557,-8.6018247,Solar d'Alegria,restaurant
41.1535414,-8.6793695,Praia da Luz,restaurant
41.1516551,-8.617653,BAO’S,restaurant
41.1475829,-8.6005453,Ruial Francesinhas,restaurant
41.1628211,-8.6108958,Restaurante Augusto,restaurant
41.1405472,-8.6141363,Adega do Conde,restaurant
41.1444983,-8.6175101,Canto Doce,restaurant
41.1571438,-8.6101212,Casa Paraíso 2,restaurant
41.1515893,-8.5972591,La Maison Rouge 48,restaurant
41.152442,-8.6057072,Restaurante Portista,restaurant
41.1445018,-8.611976,Petisqueira Voltaria,restaurant
41.1454854,-8.6134815,Casa Bragança,restaurant
41.148141,-8.6507771,Nhac! Nhac!,restaurant
41.1456753,-8.6121609,Restaurant Raiz,restaurant
41.1671834,-8.6522163,Pizza Piaza,restaurant
41.1667342,-8.6515511,Sushihana,restaurant
41.1454813,-8.6117815,Tutti Buoni,restaurant
41.1622106,-8.6061694,Sabores de Basto,restaurant
41.1454153,-8.6127514,Miss'Opo,restaurant
41.1453018,-8.6127324,All in Porto,restaurant
41.1473777,-8.6126787,Thali Aromas e Sabores da Índia,restaurant
41.1474661,-8.6129393,Presto pizza,restaurant
41.1614159,-8.6842774,Restaurante Vila Foz,restaurant
41.1600658,-8.608005,PAJU,restaurant
41.1595976,-8.6656172,The Pizza,restaurant
41.1552858,-8.6480972,Gokobe,restaurant
41.1615873,-8.6577183,chef tapioca,restaurant
41.1620154,-8.6523056,,restaurant
41.1558482,-8.663941,temako,restaurant
41.1558801,-8.6638689,Apetites,restaurant
41.1617413,-8.6856598,,restaurant
41.1613597,-8.6846378,Restaurante Flor de Lis,restaurant
41.1550812,-8.6799428,a mascara,restaurant
41.1754935,-8.6275444,Churrasqueira Portuguesa S.A.,restaurant
41.1594332,-8.6845397,Novo Molhe,restaurant
41.1587224,-8.684022,Restaurante do Molhe,restaurant
41.1572249,-8.6809052,Cervejaria Brasão Foz,restaurant
41.1567025,-8.6797626,Restaurante Terra,restaurant
41.1526891,-8.6780055,Peebz,restaurant
41.1735878,-8.6025159,Alfarroba,restaurant
41.1785591,-8.6491754,Istilo,restaurant
41.1488073,-8.6093649,Kind Kitchen,restaurant
41.1445302,-8.6125013,Rua das Flores,attraction
41.142426,-8.6138677,Portogues,restaurant
41.1645676,-8.6250662,Sabor Atlântico,restaurant
41.1620901,-8.6513346,LI JIN,restaurant
41.1672131,-8.6345468,Churrasqueira Central de Francos,restaurant
41.1525446,-8.6200183,Real Hamburgueria Portuguesa,restaurant
41.1539084,-8.6185584,VietView,restaurant
41.1630608,-8.6224517,Santo Burga,restaurant
41.1594891,-8.6060061,Ricciardi's Rock Pizza,restaurant
41.1516574,-8.617609,Capim Dourado,restaurant
41.1520462,-8.6105662,Namaste cafe,restaurant
41.1507567,-8.6087906,Niku sushi,restaurant
41.1502806,-8.61682,Capim Dourado,restaurant
41.15077,-8.5976978,Triunfante 2,restaurant
41.152591,-8.6176271,Siktak (korean),restaurant
41.1431712,-8.5981587,Ondo Korean Kitchen,restaurant
41.1536506,-8.6087934,The Lingerie Restaurant,restaurant
41.1543215,-8.595661,Mogadourense,restaurant
41.1509471,-8.594269,Capa Negra II,restaurant
41.1512893,-8.6066894,Beher,restaurant
41.1474654,-8.6285272,Antiquum,restaurant
41.1495369,-8.6042325,Aquele Tasco,restaurant
41.1467333,-8.6049032,Cervejaria Brasão,restaurant
41.14711,-8.6259577,,restaurant
41.1524648,-8.6366988,Cantina da FCUP,restaurant
41.1479906,-8.6657348,cremosi,restaurant
41.1480342,-8.6656624,Camélia,restaurant
41.1677587,-8.6457346,A Cunha 2,restaurant
41.1663731,-8.6555385,Tasca da Badalhoca,restaurant
41.1649269,-8.6726317,My palace,restaurant
41.1699928,-8.6733738,,attraction
41.1694259,-8.674334,Caminho das Vinhas,attraction
41.1699563,-8.6721953,Antigo Anel Equestre,attraction
41.1672491,-8.676909,Fonte das Águas Ferreas,attraction
41.1526294,-8.6373755,Cozinha da Amélia,restaurant
41.1523581,-8.6361254,Pizza Hut,restaurant
41.1524511,-8.6328823,Madureira's,restaurant
41.1525941,-8.6327222,Madureira's Take Away,restaurant
41.1467731,-8.6165419,Nonna Piazza,restaurant
41.14674,-8.6174795,Boteco Mexicano,restaurant
41.1470121,-8.617043,Churrasqueira Papagaio,restaurant
41.1482761,-8.6162729,Casa Viúva,restaurant
41.1471094,-8.6168513,Adega Bodega,restaurant
41.1471351,-8.6170789,Calhambeque,restaurant
41.1471268,-8.6172544,A Tasquinha,restaurant
41.146947,-8.6174051,Bufete Santo António,restaurant
41.1458022,-8.6211797,Go Pizza,restaurant
41.1645617,-8.6021169,Salpicos Verdes,restaurant
41.1724185,-8.6553125,A Cozinha da Maria Eugénia,restaurant
41.1844109,-8.602697,Origin - Sushi & Gin,restaurant
41.1841827,-8.6030157,Munchie,restaurant
41.1839252,-8.6023241,Tropical Burger,restaurant
41.1434358,-8.5723553,Quinta de Vilar d'Allen,attraction
41.1471845,-8.6088979,Restaurante Girassol,restaurant
41.1448143,-8.6066043,Prego Batalha,restaurant
41.1448494,-8.6065593,Gazela,restaurant
41.1559685,-8.5946856,Bonanza,restaurant
41.1560716,-8.5946349,Tasquinha da Mia,restaurant
41.1632862,-8.6651967,Sete Banhos,restaurant
41.163628,-8.6672151,Pizza Uau,restaurant
41.1635263,-8.6672432,Cêpaviz,restaurant
41.1634576,-8.667262,Kanpai Fusion Sushi,restaurant
41.1633298,-8.6672972,Mykai Poke Bowls,restaurant
41.1633859,-8.6672817,Indian Palace,restaurant
41.162526,-8.6583629,Edifício Vodafone,attraction
41.1762875,-8.6472746,Aviz,restaurant
41.1768226,-8.6473342,daTerra,restaurant
41.1601296,-8.6437793,Yes Sushi,restaurant
41.1583869,-8.6347104,Restaurante Calorias,restaurant
41.1585201,-8.6335438,Pizzaria Luggo,restaurant
41.1593603,-8.6316775,Terrela,restaurant
41.1592006,-8.6332014,Art Pizza,restaurant
41.1589688,-8.6332722,Rosa do Porto,restaurant
41.1591902,-8.6359298,S. Francisco,restaurant
41.1603637,-8.6403075,RetroVade,restaurant
41.1602868,-8.6410885,SOMOS Restaurante & Lounge,restaurant
41.1635725,-8.6478925,Sou Green,restaurant
41.1635586,-8.6613966,Tourigalo,restaurant
41.1465085,-8.616564,Enche o Bandulho,restaurant
41.1487451,-8.6129042,Obicà Mozzarella Bar e Restaurante,restaurant
41.149742,-8.605255,Baloiço do Mercado Temporário do Bolhão,attraction
41.1418593,-8.6149565,Mercado,restaurant
41.1513338,-8.6071512,BOP café,restaurant
41.1430281,-8.6148333,Galeria do Largo,restaurant
41.1464565,-8.6118687,Avenida,restaurant
41.1493773,-8.5878214,Tia Orlanda,restaurant
41.1569939,-8.6298801,Churrasqueira Rotunda da Boavista,restaurant
41.1461902,-8.5940116,Café Restaurante Marinho,restaurant
41.1460267,-8.6041053,Casa Guedes 2,restaurant
41.1625902,-8.6331575,Canal 3,restaurant
41.1533294,-8.6307967,Imperador,restaurant
41.1533647,-8.6304693,Olá Vietnam,restaurant
41.1639716,-8.6342009,Latinocafé,restaurant
41.1668223,-8.633235,O Pote Velho,restaurant
41.1460055,-8.6040403,Santiago da Praça,restaurant
41.1483685,-8.6205385,Indian Italian Restaurant,restaurant
41.1404741,-8.61537,Silvas,restaurant
41.1484127,-8.6128678,Munchie,restaurant
41.1409837,-8.6166097,Cozza Rio,restaurant
41.1411661,-8.6156382,O Comercial,restaurant
41.1444471,-8.6122905,O Caseirinho,restaurant
41.1615249,-8.6208605,Café Serpa Pinto,restaurant
41.144263,-8.6174801,Farinha,restaurant
41.1441212,-8.6176073,Taberna Real Fado,restaurant
41.1498792,-8.6154955,Coupage,restaurant
41.1533682,-8.6304789,Ola Vietname,restaurant
